id;herbivore;age;session;N;P;C
22-323-C-G4;Anser Brachyrhynchus;adult;C;1.274;0.153432;38.594
22-341-C-G6;Anser Brachyrhynchus;adult;C;1.822;0.251726;41.722
22-325-C-G2;Anser Brachyrhynchus;adult;C;1.734;0.153722;41.856
22-338-C-G1;Anser Brachyrhynchus;adult;C;1.742;0.42581;36.777
22-340-C-G1;Anser Brachyrhynchus;adult;C;2.065;0.197291;39.333
22-323-C-G5;Anser Brachyrhynchus;adult;C;1.296;0.153037;39.732
22-338-C-G5;Anser Brachyrhynchus;adult;C;1.965;0.215563;37.776
22-338-C-G4;Anser Brachyrhynchus;adult;C;1.734;0.283773;34.556
22-339-C-G1;Anser Brachyrhynchus;adult;C;2.122;0.17426;43.126
22-323-C-G3;Anser Brachyrhynchus;adult;C;1.68;0.128164;42.758
22-325-C-G5;Anser Brachyrhynchus;adult;C;1.666;0.190283;39.783
22-339-C-G4;Anser Brachyrhynchus;adult;C;1.644;0.207312;36.644
22-G9-C-G1;Anser Brachyrhynchus;adult;C;1.696;0.152576;36.354
22-323-C-G2;Anser Brachyrhynchus;adult;C;1.708;0.287899;34.222
22-325-C-G3;Anser Brachyrhynchus;adult;C;1.633;0.151614;44.744
22-281-B-G3;Anser Brachyrhynchus;adult;B;1.883;0.165601;32.416
22-341-C-G2;Anser Brachyrhynchus;adult;C;1.756;0.253212;38.108
22-341-C-G3;Anser Brachyrhynchus;adult;C;1.786;0.157485;39.267
22-338-C-G2;Anser Brachyrhynchus;adult;C;1.382;0.330416;28.118
22-325-C-G4;Anser Brachyrhynchus;adult;C;1.514;0.223802;37.311
22-218-B-G2;;;;2.62;;39.035
22-302-B-G1;Anser Brachyrhynchus;adult;B;2.136;0.171525;33.358
22-303-B-G1;Anser Brachyrhynchus;adult;B;2.987;0.336416;32.836
22-301-B-G4;Anser Brachyrhynchus;adult;B;3.062;0.225296;36.157
22-281-B-G5;Anser Brachyrhynchus;adult;B;2.543;0.15146;36.056
22-206-A-G1;Anser Brachyrhynchus;adult;A;2.472;0.326763;38.753
22-190-A-G2;Anser Brachyrhynchus;adult;A;1.621;0.217535;32.373
22-083-A-G1;Anser Brachyrhynchus;adult;A;2.036;0.349926;34.536
22-208-A-G1;Anser Brachyrhynchus;adult;A;6.003;0.46832;31.535
